occupation_name,skills,knowledge,prompt,results,original_sentences
data analyst,['apply statistical analysis techniques'],[],"Take this sentence from a Job Posting.

""As an experienced member of our Software Engineering Group we look first and foremost for people who are passionate around @@solving business problems through innovation and engineering practices@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@apply statistical analysis techniques@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As an experienced member of our Software Engineering Group we look first and foremost for people who are passionate around @@applying statistical analysis techniques@@.,"""As an experienced member of our Software Engineering Group we look first and foremost for people who are passionate around @@solving business problems through innovation and engineering practices@@ ."""
 usability tester,"['use experience map', 'manage schedule of tasks']",[],"Take this sentence from a Job Posting.

""Strong @@communication skills@@ and the ability to @@support less technical staff@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use experience map@@, @@manage schedule of tasks@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Strong @@use experience map@@ and the ability to @@manage schedule of tasks@@.,"""Strong @@communication skills@@ and the ability to @@support less technical staff@@ ."""
 auditor manager,[],"['information structure', ' quality policy', 'PHP', 'audit techniques', 'cyber security', 'control objectives for information and related technology', 'AJAX', 'cloud technologies']","Take this sentence from a Job Posting.

""You will enjoy working with a modern tech stack and have knowledge of ##modern languages/frameworks## - ##HTML5## ##Ruby## ##node.js## ##JavaScript## ##PHP## ##Python## ##Java##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##information structure##, ## quality policy##, ##PHP##, ##audit techniques##, ##cyber security##, ##control objectives for information and related technology##, ##AJAX##, ##cloud technologies##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","You will enjoy working with a modern tech stack and have knowledge of ##information structure##, ##quality policy##, ##PHP##, ##audit techniques##, ##cyber security##, ##control objectives for information and related technology##, ##AJAX##, and ##cloud technologies##.","""You will enjoy working with a modern tech stack and have knowledge of ##modern languages/frameworks## - ##HTML5## ##Ruby## ##node.js## ##JavaScript## ##PHP## ##Python## ##Java##"""
 application developer,[],"['Eclipse (integrated development environment software)', 'service-oriented modelling', 'Ajax Framework', 'JavaScript Framework', 'Scratch (computer programming)', 'ABAP']","Take this sentence from a Job Posting.

""* Deep understanding of core ##AWS## services like ##Lambda## ##Cloud Watch## ##EC2## ##IAM Policies## ##VPCs## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Eclipse (integrated development environment software)##, ##service-oriented modelling##, ##Ajax Framework##, ##JavaScript Framework##, ##Scratch (computer programming)##, ##ABAP##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","* Deep understanding of core tools and concepts like ##Eclipse (integrated development environment software)##, ##service-oriented modelling##, ##Ajax Framework##, ##JavaScript Framework##, ##Scratch (computer programming)##, ##ABAP##.","""* Deep understanding of core ##AWS## services like ##Lambda## ##Cloud Watch## ##EC2## ##IAM Policies## ##VPCs## ."""
software tester,[],['Visual Studio .NET'],"Take this sentence from a Job Posting.

""Git) ##CI## ( e.g .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Visual Studio .NET##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Visual Studio .NET) ##Visual Studio .NET## ( e.g .,"""Git) ##CI## ( e.g ."""
ethical hacker,[],"['attack vectors', 'Metasploit', 'ethics', ' encryption']","Take this sentence from a Job Posting.

""Technical Lead Developer <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2020-12-21 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: £75k - 85k | Equity Job type: Full-time Experience level: Lead Role: Frontend Developer Technologies reactjs ##node.js## ##php## ##laravel## ##vue.js## Job description Job description: Technical lead - Salary: c.£75-85K ( plus equity package ) TALNT is being developed and incubated by the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> an industry-leading consultancy in people and transformational change with a global presence – and has an ambitious vision to be the ‘go to’ global platform for accurate and transparent data for workforce research and people analytics .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##attack vectors##, ##Metasploit##, ##ethics##, ## encryption##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Technical Lead Developer <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2020-12-21 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: £75k - 85k | Equity Job type: Full-time Experience level: Lead Role: Frontend Developer Technologies ##attack vectors## ##Metasploit## ##ethics## ##encryption## Job description Job description: Technical lead - Salary: c.£75-85K ( plus equity package ) TALNT is being developed and incubated by the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> an industry-leading consultancy in people and transformational change with a global presence – and has an ambitious vision to be the ‘go to’ global platform for accurate and transparent data for workforce research and people analytics.,"""Technical Lead Developer <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2020-12-21 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: £75k - 85k | Equity Job type: Full-time Experience level: Lead Role: Frontend Developer Technologies reactjs ##node.js## ##php## ##laravel## ##vue.js## Job description Job description: Technical lead - Salary: c.£75-85K ( plus equity package ) TALNT is being developed and incubated by the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> an industry-leading consultancy in people and transformational change with a global presence – and has an ambitious vision to be the ‘go to’ global platform for accurate and transparent data for workforce research and people analytics ."""
 usability tester,[],['PHP'],"Take this sentence from a Job Posting.

""You speak and write ##English## fluently""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##PHP##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You speak and write ##PHP## fluently,"""You speak and write ##English## fluently"""
 integration tester,"['implement  safety policies', 'debug software', 'manage system testing']",[],"Take this sentence from a Job Posting.

""You will have the opportunity to @@create new APIs@@ @@improve the functionality@@ of various customer facing products will work to @@define Product Scope@@ and around what is going to add the most value for customers .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@implement  safety policies@@, @@debug software@@, @@manage system testing@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","You will have the opportunity to @@implement safety policies@@, @@debug software@@ of various customer facing products will work to @@manage system testing@@ and around what is going to add the most value for customers.","""You will have the opportunity to @@create new APIs@@ @@improve the functionality@@ of various customer facing products will work to @@define Product Scope@@ and around what is going to add the most value for customers ."""
database administrator,"['manage cloud data and storage', 'provide technical training', 'support  system users']","['information structure', 'business intelligence', 'MDX', 'DB2', 'XQuery', 'OpenEdge Database', 'ObjectStore', 'TripleStore', 'IBM Informix', 'distributed computing', 'resource description framework query language', 'database development tools', 'data storage', 'PostgreSQL', 'database management systems', 'online analytical processing', 'Filemaker (database management systems)', 'SQL Server', 'quality assurance methodologies', 'LINQ', 'data quality assessment', 'Teradata Database', 'Oracle Relational Database', 'data models']","Take this sentence from a Job Posting.

""Tasks Leading developer role in an agile and cross-functional ##Scrum## team Responsibility for the complete ##software development cycle## including the ##design conception## ##test executing## and the ##final provision## @@Design and development of ##APIs## and ##application architecture##@@ @@Technical documentation@@ and @@implementation of specifications@@ Requirements Completed studies in ##Computer Science## a related discipline or a similar qualification Hands on experience as a Stack Developer Profound development experience in either ##PHP## or ##Node.js## You are familiar with ##Docker## as well as with ##Orchestration## Nice if you already use or are familiar with some of those: ##Docker## ##Node.js## ##Microservices## ##Event Sourcing## ##PHP 7.4## ##Symfony 4## ##Typescript## ##Mysql## ( ##Maria DB )## Doctrine ##Agile## ( ##SCRUM )## ##ES6+## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@manage cloud data and storage@@, @@provide technical training@@, @@support  system users@@, and for knowledge: ##information structure##, ##business intelligence##, ##MDX##, ##DB2##, ##XQuery##, ##OpenEdge Database##, ##ObjectStore##, ##TripleStore##, ##IBM Informix##, ##distributed computing##, ##resource description framework query language##, ##database development tools##, ##data storage##, ##PostgreSQL##, ##database management systems##, ##online analytical processing##, ##Filemaker (database management systems)##, ##SQL Server##, ##quality assurance methodologies##, ##LINQ##, ##data quality assessment##, ##Teradata Database##, ##Oracle Relational Database##, ##data models##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Tasks Leading developer role in an agile and cross-functional ##Scrum## team Responsibility for the complete ##database development tools## including the ##information structure##, ##data storage##, and the ##final provision## @@manage cloud data and storage@@ and development of ##business intelligence## and ##data models##@@ @@provide technical training@@ and @@support system users@@ Requirements Completed studies in ##MDX##, a related discipline or a similar qualification Hands on experience as a Stack Developer Profound development experience in either ##DB2## or ##XQuery## You are familiar with ##OpenEdge Database## as well as with ##ObjectStore## Nice if you already use or are familiar with some of those: ##TripleStore##, ##IBM Informix##, ##distributed computing##, ##resource description framework query language##, ##PostgreSQL##, ##database management systems##, ##online analytical processing##, ##Filemaker (database management systems)##, ##SQL Server##, ##quality assurance methodologies##, ##LINQ##, ##data quality assessment##, ##Teradata Database##, ##Oracle Relational Database##.","""Tasks Leading developer role in an agile and cross-functional ##Scrum## team Responsibility for the complete ##software development cycle## including the ##design conception## ##test executing## and the ##final provision## @@Design and development of ##APIs## and ##application architecture##@@ @@Technical documentation@@ and @@implementation of specifications@@ Requirements Completed studies in ##Computer Science## a related discipline or a similar qualification Hands on experience as a Stack Developer Profound development experience in either ##PHP## or ##Node.js## You are familiar with ##Docker## as well as with ##Orchestration## Nice if you already use or are familiar with some of those: ##Docker## ##Node.js## ##Microservices## ##Event Sourcing## ##PHP 7.4## ##Symfony 4## ##Typescript## ##Mysql## ( ##Maria DB )## Doctrine ##Agile## ( ##SCRUM )## ##ES6+## ."""
 network administrator,"['design computer network', 'adjust  system capacity']","['procurement of  network equipment', 'C#', 'Microsoft Visual C++']","Take this sentence from a Job Posting.

""To @@lead the software and hardware team@@ in the ##agile development## of our our ##web mobile and cloud applications## ##IoT## products as well @@building efficient and scalable solutions@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@design computer network@@, @@adjust  system capacity@@, and for knowledge: ##procurement of  network equipment##, ##C###, ##Microsoft Visual C++##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",To @@design computer network@@ and @@adjust system capacity@@ in the ##procurement of network equipment## of our ##C## and ##Microsoft Visual C++## products as well as @@building efficient and scalable solutions@@.,"""To @@lead the software and hardware team@@ in the ##agile development## of our our ##web mobile and cloud applications## ##IoT## products as well @@building efficient and scalable solutions@@ ."""
data warehouse designer,"[""respond to customers' inquiries""]",[],"Take this sentence from a Job Posting.

""@@Identify and propose automated alerts for new and previously unknown threats@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@respond to customers' inquiries@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Respond to customers' inquiries@@ and propose solutions for new and previously unknown issues.,"""@@Identify and propose automated alerts for new and previously unknown threats@@ ."""
enterprise architect,[],['Iterative development'],"Take this sentence from a Job Posting.

""- Have an appreciation of ##new technologies## and their use in innovative teams .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Iterative development##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",- Have an appreciation of ##Iterative development## and its use in innovative teams.,"""- Have an appreciation of ##new technologies## and their use in innovative teams ."""
digital games tester,[],"['software anomalies', 'SPARQL', 'application usability', 'LINQ']","Take this sentence from a Job Posting.

""At least 2 years of experience with a ##public cloud service## such as ##Amazon Web Services ( AWS)## ##Microsoft Azure## or ##Google cloud ( GCP)## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##software anomalies##, ##SPARQL##, ##application usability##, ##LINQ##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","At least 2 years of experience with ##software anomalies## such as ##SPARQL##, ##application usability## or ##LINQ##.","""At least 2 years of experience with a ##public cloud service## such as ##Amazon Web Services ( AWS)## ##Microsoft Azure## or ##Google cloud ( GCP)## ."""
embedded systems software developer,[],"['Ruby (computer programming)', 'Assembly (computer programming)', 'World Wide Web Consortium standards']","Take this sentence from a Job Posting.

""<ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-08-10 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Role: Full Stack Developer Industry: ##Financial Services## Company size: 10k+ people Company type: Public Technologies java ##spring## ##spring-mvc## Job description We are looking for strong java developers to join a high performance global team working within Prime business .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Ruby (computer programming)##, ##Assembly (computer programming)##, ##World Wide Web Consortium standards##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",<ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-08-10 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Role: Full Stack Developer Industry: ##Ruby (computer programming)## Company size: 10k+ people Company type: Public Technologies ##Assembly (computer programming)## ##World Wide Web Consortium standards## Job description We are looking for strong developers proficient in Ruby and Assembly to join a high performance global team working within the World Wide Web Consortium standards.,"""<ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-08-10 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Role: Full Stack Developer Industry: ##Financial Services## Company size: 10k+ people Company type: Public Technologies java ##spring## ##spring-mvc## Job description We are looking for strong java developers to join a high performance global team working within Prime business ."""
 system analyst,"['analyse the context of an organisation', 'analyse software specifications']",[],"Take this sentence from a Job Posting.

""@@Pragmatic@@ and @@solution-oriented@@ way of working""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@analyse the context of an organisation@@, @@analyse software specifications@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Analyse the context of an organisation@@ and @@analyse software specifications@@ way of working,"""@@Pragmatic@@ and @@solution-oriented@@ way of working"""
digital games tester,[],['resource description framework query language'],"Take this sentence from a Job Posting.

""##F5 LTM/GTM##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##resource description framework query language##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Resource Description Framework Query Language##,"""##F5 LTM/GTM##"""
 accessibility tester,['execute  user research activities'],[],"Take this sentence from a Job Posting.

""You possess an appetite for @@continually refining and improving the end-user experience as well as the developer experience@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@execute  user research activities@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You possess an appetite for @@executing user research activities@@ to improve the end-user experience as well as the developer experience.,"""You possess an appetite for @@continually refining and improving the end-user experience as well as the developer experience@@ ."""
embedded system designer,['provide technical documentation'],"['software components libraries', ' communications protocols']","Take this sentence from a Job Posting.

""<ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> team can provide you the opportunity @@to build and support ##integrated cloud services## in a ##broadly distributed multi-tenant cloud environment .##@@""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@provide technical documentation@@, and for knowledge: ##software components libraries##, ## communications protocols##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",<ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> team can @@provide technical documentation@@ for ##software components libraries## in a ##communications protocols## environment.,"""<ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> team can provide you the opportunity @@to build and support ##integrated cloud services## in a ##broadly distributed multi-tenant cloud environment .##@@"""
database developer,[],"['Smalltalk (computer programming)', 'ASP.NET', 'Objective-C']","Take this sentence from a Job Posting.

""##Business to Business## ##Information Technology## ##Web Technology##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Smalltalk (computer programming)##, ##ASP.NET##, ##Objective-C##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Smalltalk (computer programming)## ##ASP.NET## ##Objective-C##,"""##Business to Business## ##Information Technology## ##Web Technology##"""
 resilience manager,['train employees'],[' system user requirements'],"Take this sentence from a Job Posting.

""Sketch or ##Adobe XD )## Experience @@working in an interactive agile environment@@""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@train employees@@, and for knowledge: ## system user requirements##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",System user requirements or ##system user requirements## Experience @@training employees@@ in an interactive agile environment,"""Sketch or ##Adobe XD )## Experience @@working in an interactive agile environment@@"""
database administrator,[],['SQL Server'],"Take this sentence from a Job Posting.

""* ##BS/BA degree## or equivalent experience""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##SQL Server##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* ##SQL Server## knowledge or equivalent experience,"""* ##BS/BA degree## or equivalent experience"""
IT auditor,[],"['audit techniques', 'cyber security', ' process quality models']","Take this sentence from a Job Posting.

""Excellent knowledge of one or more of the following programming languages: ##Scala## ##Java## ##Go##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##audit techniques##, ##cyber security##, ## process quality models##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Excellent knowledge of one or more of the following areas: ##audit techniques##, ##cyber security##, ##process quality models##.","""Excellent knowledge of one or more of the following programming languages: ##Scala## ##Java## ##Go##"""
database developer,[],['MarkLogic'],"Take this sentence from a Job Posting.

""* Experience with ##Docker## or similar container technologies""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##MarkLogic##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Experience with ##MarkLogic## or similar database technologies,"""* Experience with ##Docker## or similar container technologies"""
 disaster recovery analyst,['develop information security strategy'],"['internal risk management policy', 'mobile operating systems', 'unstructured data', ' process quality models']","Take this sentence from a Job Posting.

""- Good @@project and time-management@@ skills - ##M.S degree in Computer Science## or ##EE## preferred - Experience with ##Python## is preferred - Knowledge of ##finance## would be a plus <ORGANIZATION> <ORGANIZATION> is a global leader in financial services providing strategic advice and products to the world's most prominent corporations governments wealthy individuals and institutional investors .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@develop information security strategy@@, and for knowledge: ##internal risk management policy##, ##mobile operating systems##, ##unstructured data##, ## process quality models##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","- Good @@develop information security strategy@@ skills - ##internal risk management policy##, ##mobile operating systems##, ##unstructured data##, and ##process quality models## knowledge preferred - <ORGANIZATION> <ORGANIZATION> is a global leader in financial services providing strategic advice and products to the world's most prominent corporations governments wealthy individuals and institutional investors.","""- Good @@project and time-management@@ skills - ##M.S degree in Computer Science## or ##EE## preferred - Experience with ##Python## is preferred - Knowledge of ##finance## would be a plus <ORGANIZATION> <ORGANIZATION> is a global leader in financial services providing strategic advice and products to the world's most prominent corporations governments wealthy individuals and institutional investors ."""
 business analysis manager,"['design process', 'execute analytical mathematical calculations', 'perform data mining']",[],"Take this sentence from a Job Posting.

""@@Identify opportunities@@ and @@drive the implementation of automation@@ to @@improve service health manageability reliability and telemetry@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@design process@@, @@execute analytical mathematical calculations@@, @@perform data mining@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Design process@@ and @@execute analytical mathematical calculations@@ to @@perform data mining@@.,"""@@Identify opportunities@@ and @@drive the implementation of automation@@ to @@improve service health manageability reliability and telemetry@@ ."""
database developer,[],"['MATLAB', ' infrastructure']","Take this sentence from a Job Posting.

""##HTML## & ##SCSS##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##MATLAB##, ## infrastructure##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##MATLAB## & ##infrastructure##,"""##HTML## & ##SCSS##"""
 system analyst,"['provide  consulting advice', 'design information system', 'analyse software specifications']",[],"Take this sentence from a Job Posting.

""Be @@comfortable leading a team@@ @@prioritize the work@@ and @@manage team’s day to day operations@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@provide  consulting advice@@, @@design information system@@, @@analyse software specifications@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Be @@provide consulting advice@@, @@design information system@@ and @@analyse software specifications@@","""Be @@comfortable leading a team@@ @@prioritize the work@@ and @@manage team’s day to day operations@@"""
integration engineer,['adapt to changing situations'],[],"Take this sentence from a Job Posting.

""Collaborate with our QA engineer that will support you with @@developing reliable code@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@adapt to changing situations@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Collaborate with our QA engineer that will support you with @@adapting to changing situations@@.,"""Collaborate with our QA engineer that will support you with @@developing reliable code@@"""
 quality assurance manager,['attend to  systems quality'],[],"Take this sentence from a Job Posting.

""Have experience in @@deploying and operating cyber solutions to endpoints@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@attend to  systems quality@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Have experience in @@attending to systems quality@@,"""Have experience in @@deploying and operating cyber solutions to endpoints@@"""
software architect,"['provide  consulting advice', 'design database in the cloud']",[],"Take this sentence from a Job Posting.

""Working in <ORGANIZATION> as a Software Engineer will provide you with great challenges and opportunities to work on from @@building new products@@ for our users to @@maintaining our existing products at scale@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@provide  consulting advice@@, @@design database in the cloud@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Working in <ORGANIZATION> as a Software Engineer will provide you with great challenges and opportunities to work on from @@providing consulting advice@@ for our users to @@designing database in the cloud@@.,"""Working in <ORGANIZATION> as a Software Engineer will provide you with great challenges and opportunities to work on from @@building new products@@ for our users to @@maintaining our existing products at scale@@ ."""
 security administrator,"['implement  safety policies', 'implement anti-virus software', 'manage keys for data protection']",['internet governance'],"Take this sentence from a Job Posting.

""As a Senior Full Stack Engineer at <ORGANIZATION> you @@build new features@@ @@design and implement useful ##API## methods@@ and @@increase the reliability of our software continuously@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@implement  safety policies@@, @@implement anti-virus software@@, @@manage keys for data protection@@, and for knowledge: ##internet governance##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","As a Senior Full Stack Engineer at <ORGANIZATION> you @@implement safety policies@@, @@implement anti-virus software@@, and @@manage keys for data protection@@ while understanding the importance of ##internet governance##.","""As a Senior Full Stack Engineer at <ORGANIZATION> you @@build new features@@ @@design and implement useful ##API## methods@@ and @@increase the reliability of our software continuously@@ ."""
system configurator,[],"['software components libraries', 'SQL Server']","Take this sentence from a Job Posting.

""MySQL ##MongoDB)## ##web servers## ( e.g .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##software components libraries##, ##SQL Server##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Software components libraries ##SQL Server## ##web servers## ( e.g .","""MySQL ##MongoDB)## ##web servers## ( e.g ."""
blockchain architect,['create business process models'],"['decentralized application frameworks', 'blockchain platforms']","Take this sentence from a Job Posting.

""The role requires @@End to end automated testing@@ with particular focus on ##data integrity performance## and ##presentation quality## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@create business process models@@, and for knowledge: ##decentralized application frameworks##, ##blockchain platforms##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The role requires @@create business process models@@ with particular focus on ##decentralized application frameworks## and ##blockchain platforms##.,"""The role requires @@End to end automated testing@@ with particular focus on ##data integrity performance## and ##presentation quality## ."""
 system analyst,['use query languages'],[],"Take this sentence from a Job Posting.

""Closely collaborate with DevOps Engineers Data Engineers Data Scientists and Data Analysts to @@solve complex problems at scale@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use query languages@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Closely collaborate with DevOps Engineers, Data Engineers, Data Scientists, and Data Analysts to @@use query languages@@ at scale.","""Closely collaborate with DevOps Engineers Data Engineers Data Scientists and Data Analysts to @@solve complex problems at scale@@"""
database developer,['manage business knowledge'],[],"Take this sentence from a Job Posting.

""You possess strong @@personal and professional skills@@ which will be a great addition to our engineering culture in an agile environment""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@manage business knowledge@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You possess strong @@manage business knowledge@@ which will be a great addition to our engineering culture in an agile environment.,"""You possess strong @@personal and professional skills@@ which will be a great addition to our engineering culture in an agile environment"""
 business analyst,['analyse the context of an organisation'],[],"Take this sentence from a Job Posting.

""Experience @@building REST API applications@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@analyse the context of an organisation@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience @@analysing the context of an organisation@@.,"""Experience @@building REST API applications@@ ."""
 system tester,['solve  system problems'],[' network simulation'],"Take this sentence from a Job Posting.

""Network engineers will use the ##network automation## to @@represent arbitrarily complex datacenter networks@@ and subsequently build interconnect and scale these networks .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@solve  system problems@@, and for knowledge: ## network simulation##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Network engineers will use the ##network simulation## to @@solve system problems@@ and subsequently build interconnect and scale these networks.,"""Network engineers will use the ##network automation## to @@represent arbitrarily complex datacenter networks@@ and subsequently build interconnect and scale these networks ."""
