occupation_name,skills,knowledge,prompt,original_sentences,results
 application developer,"['migrate existing data', 'interpret technical texts', 'develop creative ideas', 'use functional programming', 'design user interface']",['KDevelop'],"Take this sentence from a Job Posting.

""Qualifications We want people to bring their ##Engineering## expertise to our already high-quality team and find their part to play within the delivery @@Helping others out@@ constantly @@sharing your knowledge@@ and @@expanding your own knowledge@@ through @@continuous learning@@ and @@self-development@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@migrate existing data@@, @@interpret technical texts@@, @@develop creative ideas@@, @@use functional programming@@, @@design user interface@@, and for knowledge: ##KDevelop##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Qualifications We want people to bring their ##Engineering## expertise to our already high-quality team and find their part to play within the delivery @@Helping others out@@ constantly @@sharing your knowledge@@ and @@expanding your own knowledge@@ through @@continuous learning@@ and @@self-development@@ .""",Qualifications We want people to bring their ##KDevelop## expertise to our already high-quality team and find their part to play within the delivery @@migrate existing data@@ constantly @@interpret technical texts@@ and @@develop creative ideas@@ through @@use functional programming@@ and @@design user interface@@.
 system architect,[],['C++'],"Take this sentence from a Job Posting.

""• experience with ##security in web-based solutions## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##C++##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""• experience with ##security in web-based solutions## .""",• experience with ##C++## in web-based solutions.
 consultant,[],['Lean project management'],"Take this sentence from a Job Posting.

""##Elasticsearch##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Lean project management##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""##Elasticsearch##""",##Lean project management##
 system integration consultant,"['apply information security policies', 'consult with business clients', 'implement a firewall']",[],"Take this sentence from a Job Posting.

""You have @@led complex engineering efforts@@ and know what it takes to @@deliver@@ while @@encouraging a healthy supportive and autonomous team environment@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@apply information security policies@@, @@consult with business clients@@, @@implement a firewall@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""You have @@led complex engineering efforts@@ and know what it takes to @@deliver@@ while @@encouraging a healthy supportive and autonomous team environment@@ .""",You have @@apply information security policies@@ and know what it takes to @@consult with business clients@@ while @@implementing a firewall@@ in a healthy supportive and autonomous team environment.
cloud engineer,[],['Python (computer programming)'],"Take this sentence from a Job Posting.

""A ##University degree## in relevant field of study ( e.g .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Python (computer programming)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""A ##University degree## in relevant field of study ( e.g .""","""A ##Python (computer programming)## degree in relevant field of study ( e.g ."
 network engineer,[],['Eclipse (integrated development environment software)'],"Take this sentence from a Job Posting.

""##Bachelor’s or Master’s degree in the IT field##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Eclipse (integrated development environment software)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""##Bachelor’s or Master’s degree in the IT field##""",##Eclipse (integrated development environment software)## knowledge is required.
 system integration consultant,['create project specifications'],[],"Take this sentence from a Job Posting.

""• @@Document approach and techniques used@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@create project specifications@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""• @@Document approach and techniques used@@ .""",• @@Create project specifications@@.
data quality specialist,['handle data samples'],[],"Take this sentence from a Job Posting.

""@@Design and implement complex end-to-end tests@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@handle data samples@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""@@Design and implement complex end-to-end tests@@ .""",@@Handle data samples@@ effectively.
numerical tool and process control programmer,"['use CAD software', 'use measurement instruments']",[],"Take this sentence from a Job Posting.

""You will also demonstrate @@innovation@@ and a willingness to @@take on new challenges@@ by yourself and within the team .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use CAD software@@, @@use measurement instruments@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""You will also demonstrate @@innovation@@ and a willingness to @@take on new challenges@@ by yourself and within the team .""",You will also demonstrate @@use CAD software@@ and a willingness to @@use measurement instruments@@ by yourself and within the team.
 auditor manager,"['ensure compliance with legal requirements', 'identify legal requirements']",[],"Take this sentence from a Job Posting.

""The ability to @@work within a team and in collaboration with others@@ is critical to this position and excellent @@communication skills@@ verbal and written are essential .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@ensure compliance with legal requirements@@, @@identify legal requirements@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""The ability to @@work within a team and in collaboration with others@@ is critical to this position and excellent @@communication skills@@ verbal and written are essential .""","The ability to @@ensure compliance with legal requirements@@ is critical to this position and excellent @@identify legal requirements@@, both verbal and written, are essential."
software developer,"['migrate existing data', 'provide technical documentation', 'develop automated migration methods', 'identify customer requirements', 'use concurrent programming', 'use logic programming', 'use object-oriented programming', 'collect customer feedback on applications', 'use query languages', 'use automatic programming', 'use software libraries', 'develop creative ideas', 'create flowchart diagram', 'use functional programming', 'analyse software specifications', 'adapt to changes in technological development plans']","['Erlang', 'Apache Maven', 'Apache Tomcat', 'Visual Studio .NET', 'Prolog (computer programming)', 'OpenEdge Advanced Business Language', 'blockchain openness', 'JavaScript', 'Smalltalk (computer programming)', 'PHP', 'Assembly (computer programming)', 'R', 'cyber attack counter-measures', 'smart contract', 'STAF', 'Eclipse (integrated development environment software)', 'project management', 'Oracle Application Development Framework', 'tools for software configuration management', 'IBM WebSphere', 'AJAX', 'MATLAB', 'Salt (tools for software configuration management)', 'Python (computer programming)', 'Scratch (computer programming)', 'VBScript', 'COBOL', 'Pascal (computer programming)', 'ABAP', 'Internet of Things', 'Jenkins (tools for software configuration management)']","Take this sentence from a Job Posting.

""Are you a @@passionate@@ MS Dynamics NAV Developer and want to work in our growing international NAV team? Then apply and develop your career with us! Benefits Yearly voucher for a pair of glasses and up to 40% on our products Relocation assistance and help with costs and visa 50% subsidy for public transport Highly skilled colleagues building innovative systems Flexible working hours 10 days paid vacation for child care and sabbatical options Warm and international culture based on respect collaboration and giving your ideas a spotlight! Job Description @@Configure develop and implement ##Microsoft Dynamics NAV/BC## software and components@@ in all functional areas ( ##Sales## ##Purchase## ##Inventory## ##General Ledger## and own modules ) @@Connecting third party APIs@@ with ##NAV/BC## @@Creating APIs to expose ##NAV/BC## and/or other data sources@@ Advanced understanding of concepts governing ##relational database structures## the use of ##reporting/query tools## and the @@construction of ##structured query language ( SQL )## statements@@ @@Suggest technical and functional improvements@@ ( ##third party add-on solutions## and other systems ) @@Work with ##big data##@@ @@Work with the Product Owners Application Developers and QA@@ to understand the business / application requirements of the assigned task ( during ##planning## ##development## and ##testing## phases ) @@Writing ##unit and functional automation tests##@@ Qualifications University ##degree## ( ##computer science## or ##business administration## ) and/or equivalent experience Minimum 3 or more years of experience as a software developer specifically working with the ##Dynamics NAV/BC## Experience with ##PowerShell## ##git## ##monitoring/alerting/reporting tools## ##performance optimization## Ability to @@translate customer business requirements and specifications into code solutions@@ along with the ability to @@develop and manage days estimates@@ Ability to @@document code customizations@@ in compliance with established standards and practices Ability to @@debug errors efficiently and effectively@@ Proven ability to @@write effective system and process documentation@@ – including ##business and system requirements process diagrams## and ##data flow charts## Experience with ##Azure Cloud infrastructure and services## a plus Experience @@working with common third party add-on solutions@@ and their integration with ##Dynamics NAV/BC/Azure Cloud services## and with ##big data## and ##big databases## projects is a plus You are a @@team player@@ Experience with ##Agile## methodology is a plus Job benefits: Relocation support and help with visa and accommodation 50% discount for the public transport in <LOCATION> Flexi time and work space 28 days of paid vacation and sabbatical options 10 paid days for child care leave A pair of glasses as a welcome gift and for your anniversary A nearby fitness center discount Big kitchens for hungry people Warm and international culture giving you a chance to shine! Company description: <ORGANIZATION> <ORGANIZATION> is <LOCATION> largest online optician .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@migrate existing data@@, @@provide technical documentation@@, @@develop automated migration methods@@, @@identify customer requirements@@, @@use concurrent programming@@, @@use logic programming@@, @@use object-oriented programming@@, @@collect customer feedback on applications@@, @@use query languages@@, @@use automatic programming@@, @@use software libraries@@, @@develop creative ideas@@, @@create flowchart diagram@@, @@use functional programming@@, @@analyse software specifications@@, @@adapt to changes in technological development plans@@, and for knowledge: ##Erlang##, ##Apache Maven##, ##Apache Tomcat##, ##Visual Studio .NET##, ##Prolog (computer programming)##, ##OpenEdge Advanced Business Language##, ##blockchain openness##, ##JavaScript##, ##Smalltalk (computer programming)##, ##PHP##, ##Assembly (computer programming)##, ##R##, ##cyber attack counter-measures##, ##smart contract##, ##STAF##, ##Eclipse (integrated development environment software)##, ##project management##, ##Oracle Application Development Framework##, ##tools for software configuration management##, ##IBM WebSphere##, ##AJAX##, ##MATLAB##, ##Salt (tools for software configuration management)##, ##Python (computer programming)##, ##Scratch (computer programming)##, ##VBScript##, ##COBOL##, ##Pascal (computer programming)##, ##ABAP##, ##Internet of Things##, ##Jenkins (tools for software configuration management)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Are you a @@passionate@@ MS Dynamics NAV Developer and want to work in our growing international NAV team? Then apply and develop your career with us! Benefits Yearly voucher for a pair of glasses and up to 40% on our products Relocation assistance and help with costs and visa 50% subsidy for public transport Highly skilled colleagues building innovative systems Flexible working hours 10 days paid vacation for child care and sabbatical options Warm and international culture based on respect collaboration and giving your ideas a spotlight! Job Description @@Configure develop and implement ##Microsoft Dynamics NAV/BC## software and components@@ in all functional areas ( ##Sales## ##Purchase## ##Inventory## ##General Ledger## and own modules ) @@Connecting third party APIs@@ with ##NAV/BC## @@Creating APIs to expose ##NAV/BC## and/or other data sources@@ Advanced understanding of concepts governing ##relational database structures## the use of ##reporting/query tools## and the @@construction of ##structured query language ( SQL )## statements@@ @@Suggest technical and functional improvements@@ ( ##third party add-on solutions## and other systems ) @@Work with ##big data##@@ @@Work with the Product Owners Application Developers and QA@@ to understand the business / application requirements of the assigned task ( during ##planning## ##development## and ##testing## phases ) @@Writing ##unit and functional automation tests##@@ Qualifications University ##degree## ( ##computer science## or ##business administration## ) and/or equivalent experience Minimum 3 or more years of experience as a software developer specifically working with the ##Dynamics NAV/BC## Experience with ##PowerShell## ##git## ##monitoring/alerting/reporting tools## ##performance optimization## Ability to @@translate customer business requirements and specifications into code solutions@@ along with the ability to @@develop and manage days estimates@@ Ability to @@document code customizations@@ in compliance with established standards and practices Ability to @@debug errors efficiently and effectively@@ Proven ability to @@write effective system and process documentation@@ – including ##business and system requirements process diagrams## and ##data flow charts## Experience with ##Azure Cloud infrastructure and services## a plus Experience @@working with common third party add-on solutions@@ and their integration with ##Dynamics NAV/BC/Azure Cloud services## and with ##big data## and ##big databases## projects is a plus You are a @@team player@@ Experience with ##Agile## methodology is a plus Job benefits: Relocation support and help with visa and accommodation 50% discount for the public transport in <LOCATION> Flexi time and work space 28 days of paid vacation and sabbatical options 10 paid days for child care leave A pair of glasses as a welcome gift and for your anniversary A nearby fitness center discount Big kitchens for hungry people Warm and international culture giving you a chance to shine! Company description: <ORGANIZATION> <ORGANIZATION> is <LOCATION> largest online optician .""","Are you a @@migrate existing data@@ and @@provide technical documentation@@ enthusiast who has a knack for @@develop automated migration methods@@? Do you have a deep understanding of ##Erlang##, ##Apache Maven##, and ##Apache Tomcat##? If you are eager to @@identify customer requirements@@ and @@use concurrent programming@@ in our growing international team, then apply and develop your career with us! Benefits include a yearly voucher for a pair of glasses, up to 40% on our products, relocation assistance, and more. Job Description: @@use logic programming@@ and @@use object-oriented programming@@ to implement ##Visual Studio .NET## and ##Prolog (computer programming)## software and components in all functional areas (##OpenEdge Advanced Business Language##, ##blockchain openness##, ##JavaScript##, and own modules). @@collect customer feedback on applications@@ and @@use query languages@@ with ##Smalltalk (computer programming)## and ##PHP##. @@use automatic programming@@ to expose ##Assembly (computer programming)## and/or other data sources. Advanced understanding of concepts governing ##R## and ##cyber attack counter-measures##, the use of ##smart contract## and ##STAF##, and the @@create flowchart diagram@@ of ##Eclipse (integrated development environment software)## statements. @@use functional programming@@ and @@analyse software specifications@@ (##project management## and other systems). @@adapt to changes in technological development plans@@ with ##Oracle Application Development Framework##. Work with the Product Owners, Application Developers, and QA to understand the business/application requirements of the assigned task (during ##tools for software configuration management##, ##IBM WebSphere##, and ##AJAX## phases). @@use software libraries@@ and @@develop creative ideas@@. Qualifications: University ##degree## (##MATLAB## or ##Salt (tools for software configuration management)##) and/or equivalent experience. Minimum 3 or more years of experience as a software developer specifically working with ##Python (computer programming)##, ##Scratch (computer programming)##, and ##VBScript##. Experience with ##COBOL##, ##Pascal (computer programming)##, ##ABAP##, and ##Internet of Things##. Ability to @@translate customer business requirements and specifications into code solutions@@ along with the ability to @@develop and manage days estimates@@. Ability to @@document code customizations@@ in compliance with established standards and practices. Ability to @@debug errors efficiently and effectively@@. Proven ability to @@write effective system and process documentation@@ – including ##business and system requirements process diagrams## and ##data flow charts##. Experience with ##Jenkins (tools for software configuration management)## a plus. You are a @@team player@@. Experience with ##Agile## methodology is a plus."
data analyst,['apply statistical analysis techniques'],[],"Take this sentence from a Job Posting.

""As an experienced member of our Software Engineering Group we look first and foremost for people who are passionate around @@solving business problems through innovation and engineering practices@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@apply statistical analysis techniques@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""As an experienced member of our Software Engineering Group we look first and foremost for people who are passionate around @@solving business problems through innovation and engineering practices@@ .""",As an experienced member of our Software Engineering Group we look first and foremost for people who are passionate around @@applying statistical analysis techniques@@.
 usability tester,"['use experience map', 'manage schedule of tasks']",[],"Take this sentence from a Job Posting.

""Strong @@communication skills@@ and the ability to @@support less technical staff@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use experience map@@, @@manage schedule of tasks@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Strong @@communication skills@@ and the ability to @@support less technical staff@@ .""",Strong @@use experience map@@ and the ability to @@manage schedule of tasks@@.
 auditor manager,[],"['information structure', ' quality policy', 'PHP', 'audit techniques', 'cyber security', 'control objectives for information and related technology', 'AJAX', 'cloud technologies']","Take this sentence from a Job Posting.

""You will enjoy working with a modern tech stack and have knowledge of ##modern languages/frameworks## - ##HTML5## ##Ruby## ##node.js## ##JavaScript## ##PHP## ##Python## ##Java##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##information structure##, ## quality policy##, ##PHP##, ##audit techniques##, ##cyber security##, ##control objectives for information and related technology##, ##AJAX##, ##cloud technologies##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""You will enjoy working with a modern tech stack and have knowledge of ##modern languages/frameworks## - ##HTML5## ##Ruby## ##node.js## ##JavaScript## ##PHP## ##Python## ##Java##""","You will enjoy working with a modern tech stack and have knowledge of ##information structure##, ##quality policy##, ##PHP##, ##audit techniques##, ##cyber security##, ##control objectives for information and related technology##, ##AJAX##, and ##cloud technologies##."
 application developer,[],"['Eclipse (integrated development environment software)', 'service-oriented modelling', 'Ajax Framework', 'JavaScript Framework', 'Scratch (computer programming)', 'ABAP']","Take this sentence from a Job Posting.

""* Deep understanding of core ##AWS## services like ##Lambda## ##Cloud Watch## ##EC2## ##IAM Policies## ##VPCs## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Eclipse (integrated development environment software)##, ##service-oriented modelling##, ##Ajax Framework##, ##JavaScript Framework##, ##Scratch (computer programming)##, ##ABAP##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""* Deep understanding of core ##AWS## services like ##Lambda## ##Cloud Watch## ##EC2## ##IAM Policies## ##VPCs## .""","* Deep understanding of core tools and concepts like ##Eclipse (integrated development environment software)##, ##service-oriented modelling##, ##Ajax Framework##, ##JavaScript Framework##, ##Scratch (computer programming)##, ##ABAP##."
software tester,[],['Visual Studio .NET'],"Take this sentence from a Job Posting.

""Git) ##CI## ( e.g .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Visual Studio .NET##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Git) ##CI## ( e.g .""",Visual Studio .NET) ##Visual Studio .NET## ( e.g .
ethical hacker,[],"['attack vectors', 'Metasploit', 'ethics', ' encryption']","Take this sentence from a Job Posting.

""Technical Lead Developer <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2020-12-21 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: £75k - 85k | Equity Job type: Full-time Experience level: Lead Role: Frontend Developer Technologies reactjs ##node.js## ##php## ##laravel## ##vue.js## Job description Job description: Technical lead - Salary: c.£75-85K ( plus equity package ) TALNT is being developed and incubated by the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> an industry-leading consultancy in people and transformational change with a global presence – and has an ambitious vision to be the ‘go to’ global platform for accurate and transparent data for workforce research and people analytics .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##attack vectors##, ##Metasploit##, ##ethics##, ## encryption##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Technical Lead Developer <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2020-12-21 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: £75k - 85k | Equity Job type: Full-time Experience level: Lead Role: Frontend Developer Technologies reactjs ##node.js## ##php## ##laravel## ##vue.js## Job description Job description: Technical lead - Salary: c.£75-85K ( plus equity package ) TALNT is being developed and incubated by the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> an industry-leading consultancy in people and transformational change with a global presence – and has an ambitious vision to be the ‘go to’ global platform for accurate and transparent data for workforce research and people analytics .""",Technical Lead Developer <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2020-12-21 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: £75k - 85k | Equity Job type: Full-time Experience level: Lead Role: Frontend Developer Technologies ##attack vectors## ##Metasploit## ##ethics## ##encryption## Job description Job description: Technical lead - Salary: c.£75-85K ( plus equity package ) TALNT is being developed and incubated by the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> an industry-leading consultancy in people and transformational change with a global presence – and has an ambitious vision to be the ‘go to’ global platform for accurate and transparent data for workforce research and people analytics.
 usability tester,[],['PHP'],"Take this sentence from a Job Posting.

""You speak and write ##English## fluently""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##PHP##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""You speak and write ##English## fluently""",You speak and write ##PHP## fluently
 integration tester,"['implement  safety policies', 'debug software', 'manage system testing']",[],"Take this sentence from a Job Posting.

""You will have the opportunity to @@create new APIs@@ @@improve the functionality@@ of various customer facing products will work to @@define Product Scope@@ and around what is going to add the most value for customers .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@implement  safety policies@@, @@debug software@@, @@manage system testing@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""You will have the opportunity to @@create new APIs@@ @@improve the functionality@@ of various customer facing products will work to @@define Product Scope@@ and around what is going to add the most value for customers .""","You will have the opportunity to @@implement safety policies@@, @@debug software@@ of various customer facing products will work to @@manage system testing@@ and around what is going to add the most value for customers."
database administrator,"['manage cloud data and storage', 'provide technical training', 'support  system users']","['information structure', 'business intelligence', 'MDX', 'DB2', 'XQuery', 'OpenEdge Database', 'ObjectStore', 'TripleStore', 'IBM Informix', 'distributed computing', 'resource description framework query language', 'database development tools', 'data storage', 'PostgreSQL', 'database management systems', 'online analytical processing', 'Filemaker (database management systems)', 'SQL Server', 'quality assurance methodologies', 'LINQ', 'data quality assessment', 'Teradata Database', 'Oracle Relational Database', 'data models']","Take this sentence from a Job Posting.

""Tasks Leading developer role in an agile and cross-functional ##Scrum## team Responsibility for the complete ##software development cycle## including the ##design conception## ##test executing## and the ##final provision## @@Design and development of ##APIs## and ##application architecture##@@ @@Technical documentation@@ and @@implementation of specifications@@ Requirements Completed studies in ##Computer Science## a related discipline or a similar qualification Hands on experience as a Stack Developer Profound development experience in either ##PHP## or ##Node.js## You are familiar with ##Docker## as well as with ##Orchestration## Nice if you already use or are familiar with some of those: ##Docker## ##Node.js## ##Microservices## ##Event Sourcing## ##PHP 7.4## ##Symfony 4## ##Typescript## ##Mysql## ( ##Maria DB )## Doctrine ##Agile## ( ##SCRUM )## ##ES6+## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@manage cloud data and storage@@, @@provide technical training@@, @@support  system users@@, and for knowledge: ##information structure##, ##business intelligence##, ##MDX##, ##DB2##, ##XQuery##, ##OpenEdge Database##, ##ObjectStore##, ##TripleStore##, ##IBM Informix##, ##distributed computing##, ##resource description framework query language##, ##database development tools##, ##data storage##, ##PostgreSQL##, ##database management systems##, ##online analytical processing##, ##Filemaker (database management systems)##, ##SQL Server##, ##quality assurance methodologies##, ##LINQ##, ##data quality assessment##, ##Teradata Database##, ##Oracle Relational Database##, ##data models##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Tasks Leading developer role in an agile and cross-functional ##Scrum## team Responsibility for the complete ##software development cycle## including the ##design conception## ##test executing## and the ##final provision## @@Design and development of ##APIs## and ##application architecture##@@ @@Technical documentation@@ and @@implementation of specifications@@ Requirements Completed studies in ##Computer Science## a related discipline or a similar qualification Hands on experience as a Stack Developer Profound development experience in either ##PHP## or ##Node.js## You are familiar with ##Docker## as well as with ##Orchestration## Nice if you already use or are familiar with some of those: ##Docker## ##Node.js## ##Microservices## ##Event Sourcing## ##PHP 7.4## ##Symfony 4## ##Typescript## ##Mysql## ( ##Maria DB )## Doctrine ##Agile## ( ##SCRUM )## ##ES6+## .""","Tasks Leading developer role in an agile and cross-functional ##Scrum## team Responsibility for the complete ##database development tools## including the ##information structure##, ##data storage##, and the ##final provision## @@manage cloud data and storage@@ and development of ##business intelligence## and ##data models##@@ @@provide technical training@@ and @@support system users@@ Requirements Completed studies in ##MDX##, a related discipline or a similar qualification Hands on experience as a Stack Developer Profound development experience in either ##DB2## or ##XQuery## You are familiar with ##OpenEdge Database## as well as with ##ObjectStore## Nice if you already use or are familiar with some of those: ##TripleStore##, ##IBM Informix##, ##distributed computing##, ##resource description framework query language##, ##PostgreSQL##, ##database management systems##, ##online analytical processing##, ##Filemaker (database management systems)##, ##SQL Server##, ##quality assurance methodologies##, ##LINQ##, ##data quality assessment##, ##Teradata Database##, ##Oracle Relational Database##."
 network administrator,"['design computer network', 'adjust  system capacity']","['procurement of  network equipment', 'C#', 'Microsoft Visual C++']","Take this sentence from a Job Posting.

""To @@lead the software and hardware team@@ in the ##agile development## of our our ##web mobile and cloud applications## ##IoT## products as well @@building efficient and scalable solutions@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@design computer network@@, @@adjust  system capacity@@, and for knowledge: ##procurement of  network equipment##, ##C###, ##Microsoft Visual C++##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""To @@lead the software and hardware team@@ in the ##agile development## of our our ##web mobile and cloud applications## ##IoT## products as well @@building efficient and scalable solutions@@ .""",To @@design computer network@@ and @@adjust system capacity@@ in the ##procurement of network equipment## of our ##C## and ##Microsoft Visual C++## products as well as @@building efficient and scalable solutions@@.
data warehouse designer,"[""respond to customers' inquiries""]",[],"Take this sentence from a Job Posting.

""@@Identify and propose automated alerts for new and previously unknown threats@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@respond to customers' inquiries@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""@@Identify and propose automated alerts for new and previously unknown threats@@ .""",@@Respond to customers' inquiries@@ and propose solutions for new and previously unknown issues.
enterprise architect,[],['Iterative development'],"Take this sentence from a Job Posting.

""- Have an appreciation of ##new technologies## and their use in innovative teams .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Iterative development##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""- Have an appreciation of ##new technologies## and their use in innovative teams .""",- Have an appreciation of ##Iterative development## and its use in innovative teams.
digital games tester,[],"['software anomalies', 'SPARQL', 'application usability', 'LINQ']","Take this sentence from a Job Posting.

""At least 2 years of experience with a ##public cloud service## such as ##Amazon Web Services ( AWS)## ##Microsoft Azure## or ##Google cloud ( GCP)## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##software anomalies##, ##SPARQL##, ##application usability##, ##LINQ##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""At least 2 years of experience with a ##public cloud service## such as ##Amazon Web Services ( AWS)## ##Microsoft Azure## or ##Google cloud ( GCP)## .""","At least 2 years of experience with ##software anomalies## such as ##SPARQL##, ##application usability## or ##LINQ##."
embedded systems software developer,[],"['Ruby (computer programming)', 'Assembly (computer programming)', 'World Wide Web Consortium standards']","Take this sentence from a Job Posting.

""<ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-08-10 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Role: Full Stack Developer Industry: ##Financial Services## Company size: 10k+ people Company type: Public Technologies java ##spring## ##spring-mvc## Job description We are looking for strong java developers to join a high performance global team working within Prime business .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Ruby (computer programming)##, ##Assembly (computer programming)##, ##World Wide Web Consortium standards##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""<ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-08-10 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Role: Full Stack Developer Industry: ##Financial Services## Company size: 10k+ people Company type: Public Technologies java ##spring## ##spring-mvc## Job description We are looking for strong java developers to join a high performance global team working within Prime business .""",<ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-08-10 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Role: Full Stack Developer Industry: ##Ruby (computer programming)## Company size: 10k+ people Company type: Public Technologies ##Assembly (computer programming)## ##World Wide Web Consortium standards## Job description We are looking for strong developers proficient in Ruby and Assembly to join a high performance global team working within the World Wide Web Consortium standards.
