occupation_name,skills,knowledge,prompt,results,original_sentences,original_results,rephrase_prompts
house builder,"['install gutters', 'install structural glazing']",[],"Take this sentence from a Job Posting.

""Furthermore we expect you to be able to @@acquire product trends within our industry quickly and intuitively@@ and to act with a strong orientation towards @@meeting the needs of the customers@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@install gutters@@, @@install structural glazing@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Furthermore we expect you to be able to @@install gutters@@ quickly and intuitively and to act with a strong orientation towards @@installing structural glazing@@.,"""Furthermore we expect you to be able to @@acquire product trends within our industry quickly and intuitively@@ and to act with a strong orientation towards @@meeting the needs of the customers@@ .""",Furthermore we expect you to be able to @@install gutters@@ quickly and intuitively and to act with a strong orientation towards @@installing structural glazing@@.,
radio technician,[],"['microwave principles', 'electromagnetism', 'electronics principles', 'analog electronics theory']","Take this sentence from a Job Posting.

""You hold a ##degree## at ##BSc## or ##MSc## level in ##Mechanical or Marine engineering## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##microwave principles##, ##electromagnetism##, ##electronics principles##, ##analog electronics theory##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","You hold a deep understanding of ##microwave principles##, ##electromagnetism##, ##electronics principles##, or ##analog electronics theory##.","""You hold a ##degree## at ##BSc## or ##MSc## level in ##Mechanical or Marine engineering## .""","You hold a deep understanding of ##microwave principles##, ##electromagnetism##, ##electronics principles##, or ##analog electronics theory##.",
blacksmith,"['work with blacksmithing hand tools', 'provide customer follow-up services']",[],"Take this sentence from a Job Posting.

""@@Evaluate/settle specifications@@ and @@ensure correct documentation@@ to customers .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@work with blacksmithing hand tools@@, @@provide customer follow-up services@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Work with blacksmithing hand tools@@ and @@provide customer follow-up services@@ to customers.,"""@@Evaluate/settle specifications@@ and @@ensure correct documentation@@ to customers .""",@@Work with blacksmithing hand tools@@ and @@provide customer follow-up services@@ to customers.,
dismantling engineer,['perform safety data analysis'],['nuclear physics'],"Take this sentence from a Job Posting.

""You are @@problem solvers@@ and contributors on ##complex global quality issues## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@perform safety data analysis@@, and for knowledge: ##nuclear physics##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You are @@perform safety data analysis@@ and contributors on ##nuclear physics##.,"""You are @@problem solvers@@ and contributors on ##complex global quality issues## .""",You are @@perform safety data analysis@@ and contributors on ##nuclear physics##.,
pasta maker,[],"['crafting', 'food safety principles', 'milling machines', 'food allergies', 'food dehydration processes', 'processes of foods and beverages manufacturing']","Take this sentence from a Job Posting.

""If you have knowhow with ##kinematics tolerance analysis## ##mathematical modelling## ##FEM/FEA## ##ProE/Creo## ##DFA/DFM## ##GPS## it is perfect .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##crafting##, ##food safety principles##, ##milling machines##, ##food allergies##, ##food dehydration processes##, ##processes of foods and beverages manufacturing##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","If you have knowhow with ##crafting##, ##food safety principles##, ##milling machines##, ##food allergies##, ##food dehydration processes##, ##processes of foods and beverages manufacturing##, it is perfect.","""If you have knowhow with ##kinematics tolerance analysis## ##mathematical modelling## ##FEM/FEA## ##ProE/Creo## ##DFA/DFM## ##GPS## it is perfect .""","If you have knowhow with ##crafting##, ##food safety principles##, ##milling machines##, ##food allergies##, ##food dehydration processes##, ##processes of foods and beverages manufacturing##, it is perfect.",
public affairs consultant,[],"['government representation', 'legal research']","Take this sentence from a Job Posting.

""As one of our HR consultants you will be involved in a wide range of tasks related to ##leadership support## and the ##employment## of our people .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##government representation##, ##legal research##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As one of our HR consultants you will be involved in a wide range of tasks related to ##government representation## and the ##legal research## of our people.,"""As one of our HR consultants you will be involved in a wide range of tasks related to ##leadership support## and the ##employment## of our people .""",As one of our HR consultants you will be involved in a wide range of tasks related to ##government representation## and the ##legal research## of our people.,
accessibility tester,['provide software testing documentation'],[],"Take this sentence from a Job Posting.

""We expect that you @@take ownership and responsibility of the websites and products you are working on@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@provide software testing documentation@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",We expect that you @@provide software testing documentation@@ for the websites and products you are working on.,"""We expect that you @@take ownership and responsibility of the websites and products you are working on@@ .""",We expect that you @@provide software testing documentation@@ for the websites and products you are working on.,
metal additive manufacturing operator,['maintain additive manufacturing systems'],[],"Take this sentence from a Job Posting.

""@@Supporting new sites@@ ( e.g .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@maintain additive manufacturing systems@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""@@Maintain additive manufacturing systems@@ ( e.g .","""@@Supporting new sites@@ ( e.g .""","""@@Maintain additive manufacturing systems@@ ( e.g .",
social services manager,"['liaise with local authorities', 'recruit employees', 'investigate social security applications', 'review social service plan', 'manage fundraising activities', 'develop contingency plans for emergencies']",[],"Take this sentence from a Job Posting.

""Teacher with that something extra and experience from @@developing learning materials@@ The right candidate for us is @@value driven@@ @@energized@@ and characterised by @@personal integrity@@ and has an ability to @@collaborate@@ and @@communicate clearly with people@@ at all levels of the organization .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@liaise with local authorities@@, @@recruit employees@@, @@investigate social security applications@@, @@review social service plan@@, @@manage fundraising activities@@, @@develop contingency plans for emergencies@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""We are seeking a Teacher who brings that something extra to the table, with experience in liaising with local authorities. The ideal candidate for us should have the ability to recruit employees, investigate social security applications, and review social service plans. They should also be capable of managing fundraising activities and developing contingency plans for emergencies at all levels of the organization.""","""Teacher with that something extra and experience from @@developing learning materials@@ The right candidate for us is @@value driven@@ @@energized@@ and characterised by @@personal integrity@@ and has an ability to @@collaborate@@ and @@communicate clearly with people@@ at all levels of the organization .""","Teacher with that something extra and experience from @@liaise with local authorities@@. The right candidate for us is @@recruit employees@@, @@investigate social security applications@@ and characterised by @@review social service plan@@ and has an ability to @@manage fundraising activities@@ and @@develop contingency plans for emergencies@@ at all levels of the organization.","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""Teacher with that something extra and experience from @@liaise with local authorities@@. The right candidate for us is @@recruit employees@@, @@investigate social security applications@@ and characterised by @@review social service plan@@ and has an ability to @@manage fundraising activities@@ and @@develop contingency plans for emergencies@@ at all levels of the organization.""
It lacks coherence. Rephrase it to make it sound less synthetic . Ensure that all existing @@ and ## annotations remain unchanged. Don't create any new skills or knowledge components."
fire safety tester,"['determine fire risks', 'report test findings']",[],"Take this sentence from a Job Posting.

""As a person you thrive on @@taking responsibility@@ and as you have some interaction with sales channels and sales customers it is essential that you have excellent @@collaboration and communication skills@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@determine fire risks@@, @@report test findings@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As a person you thrive on @@determining fire risks@@ and as you have some interaction with sales channels and sales customers it is essential that you have excellent @@reporting test findings@@.,"""As a person you thrive on @@taking responsibility@@ and as you have some interaction with sales channels and sales customers it is essential that you have excellent @@collaboration and communication skills@@ .""",As a person you thrive on @@determining fire risks@@ and as you have some interaction with sales channels and sales customers it is essential that you have excellent @@reporting test findings@@.,
sociologist,['develop scientific theories'],[],"Take this sentence from a Job Posting.

""Main duties include: @@Preparation of self-service counters@@ ready for service .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@develop scientific theories@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Main duties include: utilizing your @@developing scientific theories@@ skill to prepare them for service.""","""Main duties include: @@Preparation of self-service counters@@ ready for service .""",Main duties include: @@developing scientific theories@@ ready for service.,"Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""Main duties include: @@developing scientific theories@@ ready for service.""
It lacks coherence. Rephrase it to make it sound less synthetic . Ensure that all existing @@ and ## annotations remain unchanged. Don't create any new skills or knowledge components."
cabin crew instructor,['conduct full-scale emergency plan exercises'],[],"Take this sentence from a Job Posting.

""Last but not least you both have the @@capacity and desire for personal and professional growth@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@conduct full-scale emergency plan exercises@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Lastly, it is crucial that you possess the @@conduct full-scale emergency plan exercises@@ skill.""","""Last but not least you both have the @@capacity and desire for personal and professional growth@@ .""",Last but not least you both have the @@conduct full-scale emergency plan exercises@@.,"Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""Last but not least you both have the @@conduct full-scale emergency plan exercises@@.""
It lacks coherence. Rephrase it to make it sound less synthetic . Ensure that all existing @@ and ## annotations remain unchanged. Don't create any new skills or knowledge components."
import export manager in wood and construction materials,['abide by business ethical code of conducts'],[],"Take this sentence from a Job Posting.

""IT and Business and @@create understanding and alignment@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@abide by business ethical code of conducts@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",IT and Business and @@abide by business ethical code of conducts@@,"""IT and Business and @@create understanding and alignment@@""",IT and Business and @@abide by business ethical code of conducts@@,
social security inspector,"['apply conflict management', 'provide necessary documents', 'inspect government policy compliance', 'investigate social security applications', 'protect employee rights', 'identify policy breach', 'present reports']",['government social security programmes'],"Take this sentence from a Job Posting.

""@@Develop and implement ##design best practices##@@ in areas of expertise Responsible for @@accurate forecasting@@ @@resource allocation@@ @@scheduling@@ and @@budgeting@@ for assigned project(s ) @@Partnering with clients@@ @@ensuring customer satisfaction and adherence to client requirements@@ Remuneration & Benefits: <ORGANIZATION> is an equal opportunities employer and we believe in rewarding our staff for their commitment and hard work and we have designed a benefits package that will suit all of our team .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@apply conflict management@@, @@provide necessary documents@@, @@inspect government policy compliance@@, @@investigate social security applications@@, @@protect employee rights@@, @@identify policy breach@@, @@present reports@@, and for knowledge: ##government social security programmes##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","@@Apply conflict management@@ and implement ##government social security programmes## in areas of expertise. Responsible for @@providing necessary documents@@, @@inspecting government policy compliance@@, @@investigating social security applications@@, and @@protecting employee rights@@ for assigned project(s). @@Identify policy breach@@ and @@present reports@@, ensuring customer satisfaction and adherence to client requirements. Remuneration & Benefits: <ORGANIZATION> is an equal opportunities employer and we believe in rewarding our staff for their commitment and hard work and we have designed a benefits package that will suit all of our team.","""@@Develop and implement ##design best practices##@@ in areas of expertise Responsible for @@accurate forecasting@@ @@resource allocation@@ @@scheduling@@ and @@budgeting@@ for assigned project(s ) @@Partnering with clients@@ @@ensuring customer satisfaction and adherence to client requirements@@ Remuneration & Benefits: <ORGANIZATION> is an equal opportunities employer and we believe in rewarding our staff for their commitment and hard work and we have designed a benefits package that will suit all of our team .""","@@Apply conflict management@@ and implement ##government social security programmes## in areas of expertise. Responsible for @@providing necessary documents@@, @@inspecting government policy compliance@@, @@investigating social security applications@@, and @@protecting employee rights@@ for assigned project(s). @@Identify policy breach@@ and @@present reports@@, ensuring customer satisfaction and adherence to client requirements. Remuneration & Benefits: <ORGANIZATION> is an equal opportunities employer and we believe in rewarding our staff for their commitment and hard work and we have designed a benefits package that will suit all of our team.",
knitting machine supervisor,['draw sketches to develop textile articles'],[],"Take this sentence from a Job Posting.

""The new position in <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> as TechOps Engineer will @@architect design implement and maintain highly scalable distributed systems@@ that provide availability scalability and performance guarantees in the cloud .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@draw sketches to develop textile articles@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","The new position in <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> as a Textile Designer will @@draw sketches to develop textile articles@@ that provide availability, scalability, and performance guarantees in the fashion industry.","""The new position in <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> as TechOps Engineer will @@architect design implement and maintain highly scalable distributed systems@@ that provide availability scalability and performance guarantees in the cloud .""","The new position in <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> as a Textile Designer will @@draw sketches to develop textile articles@@ that provide availability, scalability, and performance guarantees in the fashion industry.",
civil drafter,"['use technical drawing software', 'apply digital mapping', 'read engineering drawings', 'create architectural sketches', 'create cadastral maps']",[],"Take this sentence from a Job Posting.

""You will do this by @@setting up partnerships@@ to @@improve supply@@ @@building partnerships@@ to @@acquire new customers@@ and @@set up global partnerships@@ with leading wineries .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use technical drawing software@@, @@apply digital mapping@@, @@read engineering drawings@@, @@create architectural sketches@@, @@create cadastral maps@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","You will do this by @@using technical drawing software@@ to @@improve supply@@, @@applying digital mapping@@ to @@acquire new customers@@, and @@reading engineering drawings@@, @@creating architectural sketches@@, and @@creating cadastral maps@@ with leading architectural firms.","""You will do this by @@setting up partnerships@@ to @@improve supply@@ @@building partnerships@@ to @@acquire new customers@@ and @@set up global partnerships@@ with leading wineries .""","You will do this by @@using technical drawing software@@ to @@improve supply@@, @@applying digital mapping@@ to @@acquire new customers@@, and @@reading engineering drawings@@, @@creating architectural sketches@@, and @@creating cadastral maps@@ with leading architectural firms.",
philosophy lecturer,"['develop curriculum', 'assist students with their dissertation', 'perform project management', 'provide lesson materials', 'manage open publications', 'liaise with educational staff', 'develop course outline', 'promote the participation of citizens in scientific and research activities']","['politics', 'history of philosophy', 'sociology', 'philosophical schools of thought', 'ethics', 'curriculum objectives']","Take this sentence from a Job Posting.

""Jur ##Cand.merc HRM## or similar ) A minimum of five years of experience from previous jobs Relevant administration experience; using ##HR data systems## like ##SAP## is preferred Relevant experience in ##recruiting## and ##disciplinary cases## Fluency in ##English## ( written and verbal ) Preferred personal qualities Ability to @@communicate and interact with leaders employees and HR colleagues@@ at all levels across cultures and organisational units Enjoy @@working in a change-oriented organisation@@ capable of @@adapting to new procedures and high activity@@ Strong @@team- and collaborative skills@@ @@Commercial insight@@ @@business and customer-oriented@@ Focused and with a @@positive mind-set@@ Eager to @@deliver good service@@ to the organisation We can offer you Competitive salary pension and insurance schemes Challenging tasks that contributes to both professional and personal growth and development The opportunity to be part of a company recognised by growth innovation and development A thriving environment characterised by team play and informality A variety of activities within sports culture and within the social arena Region: Region <LOCATION> Job type: Permanent Working hours: Full-time Working days: Day Application deadline: 01/02/2016 But we will assess ongoing Expected Start Date: As soon as possible Location: <ORGANIZATION> Contacts: <NAME> <NAME> Mobile: <CONTACT> <CONTACT> Home page: <CONTACT>""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@develop curriculum@@, @@assist students with their dissertation@@, @@perform project management@@, @@provide lesson materials@@, @@manage open publications@@, @@liaise with educational staff@@, @@develop course outline@@, @@promote the participation of citizens in scientific and research activities@@, and for knowledge: ##politics##, ##history of philosophy##, ##sociology##, ##philosophical schools of thought##, ##ethics##, ##curriculum objectives##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Jur ##politics## or similar ) A minimum of five years of experience from previous jobs Relevant administration experience; using ##history of philosophy## like ##sociology## is preferred Relevant experience in ##philosophical schools of thought## and ##ethics## Fluency in ##English## ( written and verbal ) Preferred personal qualities Ability to @@develop curriculum and assist students with their dissertation@@ at all levels across cultures and organisational units Enjoy @@performing project management in a change-oriented organisation@@ capable of @@providing lesson materials and adapting to new procedures and high activity@@ Strong @@team- and collaborative skills@@ @@Commercial insight@@ @@managing open publications and liaising with educational staff@@ Focused and with a @@positive mind-set@@ Eager to @@deliver good service@@ to the organisation We can offer you Competitive salary pension and insurance schemes Challenging tasks that contributes to both professional and personal growth and development The opportunity to be part of a company recognised by growth innovation and development A thriving environment characterised by team play and informality A variety of activities within sports culture and within the social arena Region: Region <LOCATION> Job type: Permanent Working hours: Full-time Working days: Day Application deadline: 01/02/2016 But we will assess ongoing Expected Start Date: As soon as possible Location: <ORGANIZATION> Contacts: <NAME> <NAME> Mobile: <CONTACT> <CONTACT> Home page: <CONTACT>.,"""Jur ##Cand.merc HRM## or similar ) A minimum of five years of experience from previous jobs Relevant administration experience; using ##HR data systems## like ##SAP## is preferred Relevant experience in ##recruiting## and ##disciplinary cases## Fluency in ##English## ( written and verbal ) Preferred personal qualities Ability to @@communicate and interact with leaders employees and HR colleagues@@ at all levels across cultures and organisational units Enjoy @@working in a change-oriented organisation@@ capable of @@adapting to new procedures and high activity@@ Strong @@team- and collaborative skills@@ @@Commercial insight@@ @@business and customer-oriented@@ Focused and with a @@positive mind-set@@ Eager to @@deliver good service@@ to the organisation We can offer you Competitive salary pension and insurance schemes Challenging tasks that contributes to both professional and personal growth and development The opportunity to be part of a company recognised by growth innovation and development A thriving environment characterised by team play and informality A variety of activities within sports culture and within the social arena Region: Region <LOCATION> Job type: Permanent Working hours: Full-time Working days: Day Application deadline: 01/02/2016 But we will assess ongoing Expected Start Date: As soon as possible Location: <ORGANIZATION> Contacts: <NAME> <NAME> Mobile: <CONTACT> <CONTACT> Home page: <CONTACT>""",Jur ##politics## or similar ) A minimum of five years of experience from previous jobs Relevant administration experience; using ##history of philosophy## like ##sociology## is preferred Relevant experience in ##philosophical schools of thought## and ##ethics## Fluency in ##English## ( written and verbal ) Preferred personal qualities Ability to @@develop curriculum and assist students with their dissertation@@ at all levels across cultures and organisational units Enjoy @@performing project management in a change-oriented organisation@@ capable of @@providing lesson materials and adapting to new procedures and high activity@@ Strong @@team- and collaborative skills@@ @@Commercial insight@@ @@managing open publications and liaising with educational staff@@ Focused and with a @@positive mind-set@@ Eager to @@deliver good service@@ to the organisation We can offer you Competitive salary pension and insurance schemes Challenging tasks that contributes to both professional and personal growth and development The opportunity to be part of a company recognised by growth innovation and development A thriving environment characterised by team play and informality A variety of activities within sports culture and within the social arena Region: Region <LOCATION> Job type: Permanent Working hours: Full-time Working days: Day Application deadline: 01/02/2016 But we will assess ongoing Expected Start Date: As soon as possible Location: <ORGANIZATION> Contacts: <NAME> <NAME> Mobile: <CONTACT> <CONTACT> Home page: <CONTACT>.,
adult community care worker,"['prevent social problems', 'assist social service users with physical disabilities', 'promote the safeguarding of young people']",[],"Take this sentence from a Job Posting.

"" Must be @@prompt@@ @@dependable@@ and @@reliable!@@  Applicants must receive satisfactory results from a background check as conducted in accordance with applicable laws and must pass drug screening and must be smoke-free .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@prevent social problems@@, @@assist social service users with physical disabilities@@, @@promote the safeguarding of young people@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Must be @@prevent social problems@@, @@assist social service users with physical disabilities@@, and @@promote the safeguarding of young people@@! Applicants must receive satisfactory results from a background check as conducted in accordance with applicable laws and must pass drug screening and must be smoke-free.",""" Must be @@prompt@@ @@dependable@@ and @@reliable!@@  Applicants must receive satisfactory results from a background check as conducted in accordance with applicable laws and must pass drug screening and must be smoke-free .""","Must be @@prevent social problems@@, @@assist social service users with physical disabilities@@, and @@promote the safeguarding of young people@@! Applicants must receive satisfactory results from a background check as conducted in accordance with applicable laws and must pass drug screening and must be smoke-free.",
assistant clinical psychologist,"['work with patterns of psychological behaviour', 'analyse psychological aspects of illness', 'adhere to organisational guidelines', 'provide health psychological diagnosis']",['diagnosis of mental health issues'],"Take this sentence from a Job Posting.

""At the same time it is important that you have an @@operational mindset@@ and a @@hands-on approach@@ with ##retail## to @@exploit all commercial possibilities@@ when @@educating and advising partners and sales agents@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@work with patterns of psychological behaviour@@, @@analyse psychological aspects of illness@@, @@adhere to organisational guidelines@@, @@provide health psychological diagnosis@@, and for knowledge: ##diagnosis of mental health issues##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",At the same time it is important that you @@work with patterns of psychological behaviour@@ and have a @@analyse psychological aspects of illness@@ with ##diagnosis of mental health issues## to @@adhere to organisational guidelines@@ when @@providing health psychological diagnosis@@.,"""At the same time it is important that you have an @@operational mindset@@ and a @@hands-on approach@@ with ##retail## to @@exploit all commercial possibilities@@ when @@educating and advising partners and sales agents@@ .""",At the same time it is important that you @@work with patterns of psychological behaviour@@ and have a @@analyse psychological aspects of illness@@ with ##diagnosis of mental health issues## to @@adhere to organisational guidelines@@ when @@providing health psychological diagnosis@@.,
pricing specialist,"['maintain pricing database', 'perform risk analysis', 'manage profitability', 'comprehend financial business terminology']",['company policies'],"Take this sentence from a Job Posting.

""Do you want to @@design cutting-edge mobile services@@ used by millions every day? Would you like to put your @@technical skills@@ into play and @@engage with customers@@ making the handling of financial and information assets easier and more secure? Do you enjoy @@working closely with competent colleagues@@ in a dynamic informal environment and do want to take part in shaping our new ##Mobile Technology## team? Help us empower digital payments Nets is currently undergoing a great transformation .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@maintain pricing database@@, @@perform risk analysis@@, @@manage profitability@@, @@comprehend financial business terminology@@, and for knowledge: ##company policies##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Do you want to @@maintain pricing database@@ used by millions every day? Would you like to put your @@perform risk analysis@@ and @@manage profitability@@ into play and @@comprehend financial business terminology@@ making the handling of financial and information assets easier and more secure? Do you enjoy @@working closely with competent colleagues@@ in a dynamic informal environment and do want to take part in shaping our new ##company policies## team? Help us empower digital payments Nets is currently undergoing a great transformation.,"""Do you want to @@design cutting-edge mobile services@@ used by millions every day? Would you like to put your @@technical skills@@ into play and @@engage with customers@@ making the handling of financial and information assets easier and more secure? Do you enjoy @@working closely with competent colleagues@@ in a dynamic informal environment and do want to take part in shaping our new ##Mobile Technology## team? Help us empower digital payments Nets is currently undergoing a great transformation .""",Do you want to @@maintain pricing database@@ used by millions every day? Would you like to put your @@perform risk analysis@@ and @@manage profitability@@ into play and @@comprehend financial business terminology@@ making the handling of financial and information assets easier and more secure? Do you enjoy @@working closely with competent colleagues@@ in a dynamic informal environment and do want to take part in shaping our new ##company policies## team? Help us empower digital payments Nets is currently undergoing a great transformation.,
conservator,"['assess conservation needs', 'provide project information on exhibitions', 'respect cultural differences in the field of exhibition', 'supervise projects for the conservation of heritage buildings', 'interact with an audience', 'present reports', 'estimate restoration costs of antique items']","['art collections', 'cultural projects', 'art-historical values', 'art history', 'furniture, carpet and lighting equipment products']","Take this sentence from a Job Posting.

""Your responsibility @@Implementation@@ @@analysis@@ @@bug-fixing@@ and @@test@@ of the application in cooperation with the rest of the team @@Design user interfaces and application flow@@ based on customers demands PO input usage statistics and field observations @@Coordinate with other teams@@ to align the work flow the UI and shared data with other 3Shape software products To @@continuously improve the way we work@@ and to be even more agile more accountable more supportive and better performing Play a key part in ensuring a high-quality medical software product Your Profile  ##Bachelor or Masters degree## in ##Computer Science## ##Engineering## or equivalent  At least 2-3 years practical experience in ##C#/## ##.##""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@assess conservation needs@@, @@provide project information on exhibitions@@, @@respect cultural differences in the field of exhibition@@, @@supervise projects for the conservation of heritage buildings@@, @@interact with an audience@@, @@present reports@@, @@estimate restoration costs of antique items@@, and for knowledge: ##art collections##, ##cultural projects##, ##art-historical values##, ##art history##, ##furniture, carpet and lighting equipment products##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Your responsibility @@assess conservation needs@@, @@provide project information on exhibitions@@, @@respect cultural differences in the field of exhibition@@, and @@supervise projects for the conservation of heritage buildings@@ in cooperation with the rest of the team. @@Interact with an audience@@ and @@present reports@@ based on customers' demands, PO input usage statistics, and field observations. @@Estimate restoration costs of antique items@@ to align the work flow, the UI, and shared data with other 3Shape software products. To @@continuously improve the way we work@@ and to be even more agile, more accountable, more supportive, and better performing. Play a key part in ensuring a high-quality medical software product. Your Profile: ##Bachelor or Master's degree## in ##art collections##, ##cultural projects##, or equivalent. At least 2-3 year's practical experience in ##art-historical values##, ##art history##, ##furniture, carpet and lighting equipment products##.","""Your responsibility @@Implementation@@ @@analysis@@ @@bug-fixing@@ and @@test@@ of the application in cooperation with the rest of the team @@Design user interfaces and application flow@@ based on customers demands PO input usage statistics and field observations @@Coordinate with other teams@@ to align the work flow the UI and shared data with other 3Shape software products To @@continuously improve the way we work@@ and to be even more agile more accountable more supportive and better performing Play a key part in ensuring a high-quality medical software product Your Profile  ##Bachelor or Masters degree## in ##Computer Science## ##Engineering## or equivalent  At least 2-3 years practical experience in ##C#/## ##.##""","Your responsibility @@assess conservation needs@@, @@provide project information on exhibitions@@, @@respect cultural differences in the field of exhibition@@, and @@supervise projects for the conservation of heritage buildings@@ in cooperation with the rest of the team. @@Interact with an audience@@ and @@present reports@@ based on customers' demands, PO input usage statistics, and field observations. @@Estimate restoration costs of antique items@@ to align the work flow, the UI, and shared data with other 3Shape software products. To @@continuously improve the way we work@@ and to be even more agile, more accountable, more supportive, and better performing. Play a key part in ensuring a high-quality medical software product. Your Profile: ##Bachelor or Master's degree## in ##art collections##, ##cultural projects##, or equivalent. At least 2-3 year's practical experience in ##art-historical values##, ##art history##, ##furniture, carpet and lighting equipment products##.",
aquaculture husbandry manager,[],"['animal welfare legislation', 'fish biology', 'rates of growth assessment']","Take this sentence from a Job Posting.

""Experience working with ##information and network security practices## ##software## and ##hardware## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##animal welfare legislation##, ##fish biology##, ##rates of growth assessment##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Experience working with ##animal welfare legislation##, ##fish biology## and ##rates of growth assessment##.","""Experience working with ##information and network security practices## ##software## and ##hardware## .""","Experience working with ##animal welfare legislation##, ##fish biology## and ##rates of growth assessment##.",
